,core_id,serial,fw_version,start,end,loc_id,lat,lon,desc,record_date,battery_level,rain_median,rain_avg,rain_max,rain_min,noise_median,noise_avg,noise_max,noise_min,luminosity,temperature,humidity,pm10,pm25,no2,co,pressure
0,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 22:02:35.688000+00:00,82.05,,0,22,-378,,47,84,42,17,15.2,68.94,16,15,1689,198,1011.52
1,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 22:03:18.161000+00:00,82.7,,-1,9,-369,,30,86,25,4,14.85,82.07,2,2,1729,188,1010.79
2,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-19 22:05:23.570000+00:00,82.38,,15,66,-283,,45,78,30,72,14.79,67.64,18,17,1448,197,1009.59
3,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 22:05:32.134000+00:00,83.68,,-2,5,-286,,29,78,26,0,13.55,76.6,17,17,1921,208,1011.25
4,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 22:05:32.312000+00:00,82.38,,0,10,-299,,44,78,30,0,15.06,72.45,19,18,1363,207,1010.3
5,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 22:05:40.737000+00:00,83.36,,-39,154,-1043,,64,86,55,69,15.58,83.29,25,23,413,243,1009.87
6,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 22:08:23.612000+00:00,84.62,,-2,30,-1009,,48,86,43,32,15.38,70.03,30,23,1442,170,1010.7
7,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 22:10:29.363000+00:00,81.73,,52,61,-288,,37,79,28,4,13.94,77.91,17,15,1930,180,1011.14
8,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 22:10:34.594000+00:00,83.68,,-9,7,-466,,45,86,31,1,14.73,71.98,24,22,1538,180,1009.1
9,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 22:11:39.361000+00:00,82.38,,-28,102,-346,,54,86,47,0,14.84,71.07,17,17,2028,178,1008.37
